Date,Growth,Value
194906,1.02,-2.29
194907,5.27,6.56
194908,2.73,2.67
194909,2.71,4.32
194910,3.31,3.43
194911,2.88,1.17
194912,5.36,7.33
195001,1,3.88
195002,1.58,0.97
195003,1.93,0.22
195004,4.38,5.76
195005,4.56,3.9
195006,-5.49,-5.75
195007,-3.37,12.78
195008,6.06,3.04
195009,5.77,4.52
195010,-0.18,1.53
195011,2.35,4.46
195012,3.39,11.1
195101,5.2,8.97
195102,2.23,-1.21
195103,-0.73,-4.91
195104,4.37,6.66
195105,-2.33,-3.48
195106,-2.23,-6.6
195107,6.68,8.96
195108,4.26,4.92
195109,0.63,1.7
195110,-3.76,-2.28
195111,0.77,0.64
195112,4.17,1.44
195201,0.45,3.36
195202,-2.17,-3.21
195203,4.3,6.05
195204,-4.65,-5.28
195205,3.76,3.33
195206,3.85,4.48
195207,1.22,1.34
195208,-0.77,-0.77
195209,-1.66,-2.34
195210,-0.75,-0.69
195211,6.25,7.37
195212,3.12,3.37
195301,-0.82,1.95
195302,-0.18,-0.38
195303,-1.22,-2.48
195304,-2.97,-1.72
195305,0.89,1.24
195306,-1.73,-2.22
195307,2.95,1.82
195308,-3.97,-7.67
195309,0.9,-1.77
195310,5.05,4.35
195311,3.33,2.91
195312,0.52,-2.23
195401,4.47,7.92
195402,1.64,0.88
195403,4.22,1.82
195404,5.25,3.31
195405,2.87,6.35
195406,1.84,1.12
195407,4.31,9.02
195408,-2.96,-4.09
195409,6.83,6.05
195410,-2.22,0.1
195411,9.54,14.43
195412,4.32,11.67
195501,0.09,3.3
195502,3.08,3.66
195503,-0.29,1.89
195504,4.05,4.06
195505,1.93,0.24
195506,6.53,7.74
195507,2.59,0.63
195508,0.34,1.16
195509,0.05,-1.83
195510,-2.8,-2.79
195511,8.3,8.64
195512,2,-0.71
195601,-3.61,-2.21
195602,4.73,3.22
195603,7.83,5.2
195604,0.12,0.65
195605,-5.1,-6.13
195606,4.27,1.66
195607,5.06,4.55
195608,-3.49,-2.9
195609,-5.9,-3.3
195610,0.69,1.11
