Date,fb,amzn,brk
28/11/2012,26.360001,247.110001,88.269997
29/11/2012,27.32,251.270004,87.970001
30/11/2012,28,252.050003,88.080002
03/12/2012,27.040001,250.330002,87.75
04/12/2012,27.459999,252.490005,87.269997
05/12/2012,27.709999,253.960007,87.620003
06/12/2012,26.969999,253.369995,87.489998
07/12/2012,27.49,253.270004,87.330002
10/12/2012,27.84,247.770004,87.099998
11/12/2012,27.98,250.690002,87.269997
12/12/2012,27.58,251.759995,89.32
13/12/2012,28.24,251.25,89.440002
14/12/2012,26.809999,249.190002,89.150002
17/12/2012,26.75,253.860001,89.980003
18/12/2012,27.709999,260.399994,90.370003
19/12/2012,27.41,257.98999,90.099998
20/12/2012,27.360001,261.5,90.690002
21/12/2012,26.26,256.920013,89.830002
24/12/2012,26.93,258.619995,89.830002
26/12/2012,26.51,248.630005,89.260002
27/12/2012,26.049999,248.309998,89.220001
28/12/2012,25.91,245.179993,88.550003
31/12/2012,26.620001,250.869995,89.699997
02/01/2013,28,257.309998,93.199997
03/01/2013,27.77,258.480011,93.620003
04/01/2013,28.76,259.149994,93.849998
07/01/2013,29.42,268.459991,93.449997
08/01/2013,29.059999,266.380005,93.809998
09/01/2013,30.59,266.350006,93.32
10/01/2013,31.299999,265.339996,94.650002
11/01/2013,31.719999,267.940002,94.389999
14/01/2013,30.950001,272.730011,95.360001
15/01/2013,30.1,271.899994,95.360001
16/01/2013,29.85,268.929993,95.029999
17/01/2013,30.139999,270.480011,95.300003
18/01/2013,29.66,272.119995,95.160004
22/01/2013,30.73,270.190002,95.910004
23/01/2013,30.82,268.109985,96.480003
24/01/2013,31.08,273.459991,97.309998
25/01/2013,31.540001,283.98999,97.389999
28/01/2013,32.470001,276.040009,97.120003
29/01/2013,30.790001,260.350006,97.239998
30/01/2013,31.24,272.76001,96.879997
31/01/2013,30.98,265.5,96.93
01/02/2013,29.73,265,98
04/02/2013,28.110001,259.980011,96.510002
05/02/2013,28.639999,266.890015,97.910004
06/02/2013,29.049999,262.220001,97.830002
07/02/2013,28.65,260.230011,97.110001
08/02/2013,28.549999,261.950012,97.25
11/02/2013,28.26,257.209991,97.129997
12/02/2013,27.370001,258.700012,97.699997
13/02/2013,27.91,269.470001,97.970001
14/02/2013,28.5,269.23999,99.209999
15/02/2013,28.32,265.089996,99.769997
19/02/2013,28.93,269.75,101.019997
20/02/2013,28.459999,266.410004,100.220001
21/02/2013,27.280001,265.940002,100.169998
22/02/2013,27.129999,265.420013,101.209999
25/02/2013,27.27,259.869995,98.580002
26/02/2013,27.389999,259.359985,98.720001
27/02/2013,26.870001,263.25,101.209999
28/02/2013,27.25,264.269989,102.160004
01/03/2013,27.780001,265.73999,102.050003
04/03/2013,27.719999,273.109985,101.949997
05/03/2013,27.52,275.589996,102.660004
06/03/2013,27.450001,273.790009,103.239998
07/03/2013,28.58,273.880005,103.410004
08/03/2013,27.959999,274.190002,103.629997
11/03/2013,28.139999,271.23999,104.07
12/03/2013,27.83,274.130005,103.010002
13/03/2013,27.08,275.100006,103.650002
14/03/2013,27.040001,265.73999,103.989998
15/03/2013,26.65,261.820007,102.790001
18/03/2013,26.49,257.890015,102.120003
19/03/2013,26.549999,256.410004,101.769997
20/03/2013,25.860001,257.279999,102.339996
21/03/2013,25.74,253.389999,101.959999
22/03/2013,25.73,257.75,102.57
25/03/2013,25.129999,256.019989,102.400002
26/03/2013,25.209999,260.309998,103.82
27/03/2013,26.09,265.299988,103.160004
28/03/2013,25.58,266.48999,104.199997
01/04/2013,25.530001,261.609985,103.470001
02/04/2013,25.42,263.320007,105.139999
03/04/2013,26.25,259.029999,104.239998
04/04/2013,27.07,259.079987,105.129997
05/04/2013,27.389999,255.479996,104.150002
08/04/2013,26.85,258.950012,105.260002
09/04/2013,26.59,261.140015,105.120003
10/04/2013,27.57,264.769989,106.330002
11/04/2013,28.02,269.850006,106.730003
12/04/2013,27.4,272.869995,107.040001
15/04/2013,26.52,267.720001,104.519997
16/04/2013,26.92,272.339996,107.160004
17/04/2013,26.629999,267.399994,105.169998
18/04/2013,25.690001,259.420013,103
19/04/2013,25.73,260.320007,105.279999
22/04/2013,25.969999,263.549988,105.019997
23/04/2013,25.98,268.899994,106.68
24/04/2013,26.110001,268.779999,106.75
25/04/2013,26.139999,274.700012,107.470001
26/04/2013,26.85,254.809998,107.099998
29/04/2013,26.98,249.740005,106.610001
30/04/2013,27.77,253.809998,106.32
01/05/2013,27.43,248.229996,106.120003
02/05/2013,28.969999,252.550003,107.300003
03/05/2013,28.309999,258.049988,108.639999
06/05/2013,27.57,255.720001,110
07/05/2013,26.889999,257.730011,109.900002
08/05/2013,27.120001,258.679993,110.940002
09/05/2013,27.040001,260.160004,110.660004
10/05/2013,26.68,263.630005,111.82
13/05/2013,26.82,264.51001,111.739998
14/05/2013,27.07,268.329987,112.669998
15/05/2013,26.6,266.559998,112.769997
16/05/2013,26.129999,264.119995,111.540001
17/05/2013,26.25,269.899994,113.019997
20/05/2013,25.76,267.630005,113
21/05/2013,25.66,268.859985,112.699997
22/05/2013,25.16,262.959991,111.849998
23/05/2013,25.059999,261.799988,111.290001
24/05/2013,24.309999,261.73999,110.830002
28/05/2013,24.1,267.290009,112.279999
29/05/2013,23.32,265.529999,113.029999
30/05/2013,24.549999,266.829987,114.839996
31/05/2013,24.35,269.200012,114.07
03/06/2013,23.85,266.880005,114.07
04/06/2013,23.52,265.700012,113.419998
05/06/2013,22.9,267.170013,111.510002
06/06/2013,22.969999,267.829987,113.099998
07/06/2013,23.290001,276.869995,115.309998
10/06/2013,24.33,281.070007,115.150002
11/06/2013,24.030001,274.779999,113.510002
12/06/2013,23.77,271.670013,112.949997
13/06/2013,23.73,275.790009,114.989998
14/06/2013,23.629999,273.98999,114.160004
17/06/2013,24.02,278.059998,114.919998
18/06/2013,24.209999,281.76001,115.169998
19/06/2013,24.309999,278.160004,113.839996
20/06/2013,23.9,273.440002,111.410004
21/06/2013,24.530001,273.359985,112.379997
24/06/2013,23.940001,270.609985,110.709999
25/06/2013,24.25,272.089996,112.07
26/06/2013,24.16,277.570007,112.910004
27/06/2013,24.66,277.549988,113
28/06/2013,24.879999,277.690002,111.919998
01/07/2013,24.809999,282.100006,113.040001
02/07/2013,24.41,283.730011,112.519997
03/07/2013,24.52,284.029999,112.629997
05/07/2013,24.370001,285.880005,114.959999
08/07/2013,24.709999,290.589996,115.010002
09/07/2013,25.48,291.529999,115.800003
10/07/2013,25.799999,292.329987,114.879997
11/07/2013,25.809999,299.660004,116.980003
12/07/2013,25.91,307.549988,117.120003
15/07/2013,26.280001,306.570007,117.209999
16/07/2013,26.32,306.869995,117.199997
17/07/2013,26.65,308.690002,117.629997
18/07/2013,26.18,304.109985,118.559998
19/07/2013,25.879999,305.230011,118.900002
22/07/2013,26.049999,303.480011,118.940002
23/07/2013,26.129999,301.059998,118.209999
24/07/2013,26.51,298.940002,116.459999
25/07/2013,34.360001,303.399994,117.07
26/07/2013,34.009998,312.01001,117.339996
29/07/2013,35.43,306.100006,116.419998
30/07/2013,37.630001,302.410004,115.790001
31/07/2013,36.799999,301.220001,115.870003
01/08/2013,37.490002,305.570007,117.279999
02/08/2013,38.049999,304.209991,117.82
05/08/2013,39.189999,300.98999,118.230003
06/08/2013,38.549999,300.75,117.910004
07/08/2013,38.869999,296.910004,116.800003
08/08/2013,38.540001,295.73999,117.639999
09/08/2013,38.5,297.26001,116.709999
12/08/2013,38.220001,296.690002,117.129997
13/08/2013,37.02,293.970001,117.279999
14/08/2013,36.650002,291.339996,116.57
15/08/2013,36.560001,286.470001,114.800003
16/08/2013,37.080002,284.820007,115.239998
19/08/2013,37.810001,285.570007,114.300003
20/08/2013,38.41,287.089996,115.010002
21/08/2013,38.32,284.570007,113.980003
22/08/2013,38.549999,289.730011,114.75
23/08/2013,40.549999,290.01001,114.269997
26/08/2013,41.34,286.209991,113.849998
27/08/2013,39.639999,280.929993,111.540001
28/08/2013,40.549999,281.579987,112.199997
29/08/2013,41.279999,283.980011,111.989998
30/08/2013,41.290001,280.980011,111.220001
03/09/2013,41.869999,288.799988,112.080002
04/09/2013,41.779999,293.640015,112.080002
05/09/2013,42.66,294.100006,112.269997
06/09/2013,43.950001,295.859985,111.860001
09/09/2013,44.040001,299.709991,112.669998
10/09/2013,43.599998,300.359985,113.589996
11/09/2013,45.040001,299.640015,114.279999
12/09/2013,44.75,298.859985,113.379997
13/09/2013,44.310001,297.920013,113.540001
16/09/2013,42.509998,296.059998,114.839996
17/09/2013,45.07,304.170013,115.389999
18/09/2013,45.23,312.029999,116.699997
19/09/2013,45.98,312.059998,117.169998
20/09/2013,47.490002,316.339996,117.900002
23/09/2013,47.189999,311.48999,115.639999
24/09/2013,48.450001,314.130005,115.050003
25/09/2013,49.459999,312.649994,115.510002
26/09/2013,50.389999,318.119995,115.790001
27/09/2013,51.240002,316.01001,114.849998
30/09/2013,50.23,312.640015,113.510002
01/10/2013,50.419998,320.950012,114.139999
02/10/2013,50.279999,320.51001,114.410004
03/10/2013,49.18,314.76001,113.370003
04/10/2013,51.040001,319.040009,113.75
07/10/2013,50.52,310.029999,112.860001
08/10/2013,47.139999,303.230011,111.370003
09/10/2013,46.77,298.230011,111.769997
10/10/2013,49.049999,305.170013,114.839996
11/10/2013,49.110001,310.890015,115.809998
14/10/2013,49.509998,310.700012,116
15/10/2013,49.5,306.399994,114.629997
16/10/2013,51.139999,310.48999,116.690002
17/10/2013,52.209999,310.769989,116.919998
18/10/2013,54.220001,328.929993,116.970001
21/10/2013,53.849998,326.440002,116.889999
22/10/2013,52.68,332.540009,117.489998
23/10/2013,51.900002,326.76001,116.410004
24/10/2013,52.450001,332.209991,116.839996
25/10/2013,51.950001,363.390015,117.029999
28/10/2013,50.23,358.160004,116.940002
29/10/2013,49.400002,362.700012,117.410004
30/10/2013,49.009998,361.079987,116.339996
31/10/2013,50.209999,364.029999,115.089996
01/11/2013,49.75,359,115.269997
04/11/2013,48.220001,358.73999,114.870003
05/11/2013,50.110001,358.890015,114.360001
06/11/2013,49.119999,356.179993,114.910004
07/11/2013,47.560001,343.559998,113.830002
08/11/2013,47.529999,350.309998,115.879997
11/11/2013,46.200001,354.380005,115.650002
12/11/2013,46.610001,349.529999,114.209999
