Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99,Asset100
196411,7.21,7.04,9.67,8.05,8.22,11.22,7.68,8.65,8.39,8.19,20.93,19.52,24.89,22.13,21.12,22.11,22.72,19.77,20.88,22.57,33.38,33.95,34.82,31.43,35.23,36.48,34.6,38.13,37.72,35.65,49.02,52.88,51.72,52.26,45.72,48.22,49.32,43.88,51.38,50.4,64.32,72,69.8,77.85,74.55,65.17,65.66,74.7,79.15,70.89,94.8,95.18,110.93,104.18,100.22,98.04,91.67,102.46,107.2,99.26,165.79,147.38,183.49,168.34,157.35,161.13,163.98,170.17,152.18,143.93,253.3,274.59,276.23,266.27,291.6,298.86,269.93,279,279.54,283.53,502.11,583.38,603.49,526.88,543.14,527.96,528.36,535.59,535.6,429.45,995.36,1953.86,1687,4141.75,6311.69,1282.31,1338.06,2313.61,2273.73,3844.61
196412,7.11,7.06,9.49,8.07,8.41,11.18,7.54,8.69,8.15,8.28,20.21,19.74,24.78,22.89,21.6,22.18,23.16,19.36,20.97,23.16,33.6,34.42,35.89,31.39,35.1,36.24,34.24,38.39,38.44,35.38,46.97,49.21,49.57,53.66,45.17,46.57,47.81,41.91,55.11,49.56,63.38,71.1,71.99,77.55,73.81,61.94,66.69,76.64,80.31,70.32,90.02,93.18,114.26,104.79,98.76,100.24,95.31,101.95,109.06,99.15,159.23,146.99,185.59,165.6,157.85,160.34,160.13,167.35,160.09,143.6,248.98,278.41,276.05,267.61,295.15,302.38,272.49,281.99,279.56,281.85,474.94,571.64,597.91,524.62,552,526.42,544.1,537.58,537.68,433.73,929.88,2004.22,1700.69,4160.03,6155.84,1290.26,1351.6,2324.81,2319.38,3747.78
196501,6.98,7.01,9.47,7.89,8.12,10.71,7.45,8.58,8.04,8.12,20.03,19.45,23.81,21.55,20.92,21.27,22.62,20.06,20.99,22.15,33.15,33.72,36.42,30.27,33.8,34.69,35.18,39.26,38.35,34.99,47.47,48.5,51.31,55.72,45.41,46.71,47.97,41.92,56.35,50.06,66.06,68.34,71.91,76.89,72.16,60.59,68.47,75.11,80.88,70.42,92.24,90.84,114.09,102.01,98.13,102.16,93.64,102.35,106.64,99.89,160.81,142.38,183.61,166.06,156.56,159.66,159.8,164.47,166.33,145.44,243.11,271.32,268.16,259.43,294.68,307.74,274.13,283.89,281.44,276.1,467.69,555.62,591.62,511.33,539.9,522.52,540.29,538.26,550.33,428.68,889.51,2016.23,1696.5,4102.31,6374.96,1292.36,1343.18,2347.49,2335.47,3795.8
196502,7.56,7.5,10.11,8.58,8.83,11.32,8.09,9.66,8.99,8.71,20.69,20.79,25.52,23.44,22.03,21.7,24.27,21,21.82,24.2,34.01,35.27,37.45,32.03,35.85,36.45,37.14,43.48,40.89,39.1,50.41,53.62,54.42,57.61,47.77,49.62,51.37,44.44,59.76,52.16,69.13,73.94,74.43,82.38,75.25,61.95,72.75,78.69,92.8,73.7,94.25,98.95,123.23,110.85,101.93,105.76,102.21,106.14,113.67,105.76,175.92,150.61,197.21,169.42,159.51,165.23,171.27,171.18,184.6,155.39,265.89,297.57,280.67,274.63,308.46,317.4,283.15,301.3,291.78,301.3,527.13,590.03,616.9,517.56,563.33,547.15,573.08,559.87,568.12,452.98,951.59,2039.08,1733.33,4062.88,6385.97,1339.19,1408.74,2440.95,2450.13,4027.01
196503,7.73,7.56,10.32,8.81,8.99,11.88,8.75,9.76,9.43,9.02,20.95,21.32,26.04,23.52,23.66,22.13,24.32,21.88,22.64,25.02,35.23,36.01,37.84,31.66,38.36,38.5,38.18,46.46,41.62,40.67,52.45,56.16,56.24,58.86,51.26,50.44,53.68,44.18,60.55,53.47,75.54,78.76,75.44,89.26,79.34,66.45,72.94,79.91,106.88,78.97,92.82,100.62,129.85,111.53,105.79,111.57,98.81,108.27,115.25,117.27,177.84,155.83,200.08,178.3,163.3,164.81,175.35,172.83,189.78,162.91,265.03,304.84,282.38,292.23,314.51,328.32,292.9,308.98,296.82,323.33,557.02,601.01,625.01,528.94,570.16,555.38,586.96,577.95,583.9,479.5,919.7,2075.5,1693.2,3880.55,6381.65,1346.77,1407.44,2445.73,2426.28,4033.35
196504,7.81,7.92,11.1,8.78,9.23,12.78,8.73,10.01,9.24,9.35,21.33,21.52,26.79,24.57,23.9,22.51,24.11,21.38,23.19,25.04,35.27,36.37,37.85,31.8,38.51,38.89,38.29,50.75,42.35,43.52,51.64,56.65,55.38,59.7,51.92,49.86,54,43.58,60.59,52.8,74.26,78.38,77.01,88.9,80.19,65.22,74.34,80.95,100.38,75.84,92.98,100.47,127.14,113.66,106.87,109.45,93.88,111.65,115.62,115.39,178.94,154.21,201.95,175.73,163.57,162.3,172.44,171.82,180.51,161.77,269.74,306.67,288.42,287.59,321.27,326.06,293.99,302.1,291.45,316.38,537.15,602.99,636.22,517.31,565.27,546.51,589.3,572.77,577.95,475.79,878.65,2005.09,1669.2,3757.28,6247.35,1351.92,1401.38,2420.01,2356.17,4007.06
196505,8.09,8.18,12.07,9.46,9.57,13.05,9.26,10.16,9.93,9.83,21.71,22.47,27.19,25.34,25.48,23.48,25.13,22.24,23.78,26.9,35.39,37.73,39.89,32.21,41.18,38.21,39.07,53.32,43.42,43.72,53.55,60.48,57.73,61.4,57.09,53.04,54.44,45.94,63.99,54.76,83.79,84.81,78.82,91.71,83.89,70.89,78.51,86.38,101.47,77.99,91.86,103.63,133.17,115.4,109.59,113.89,94.6,113.82,119.56,118.66,188.25,160.87,216.77,178.05,173.39,161.96,177.38,173.87,183.79,170.2,299.79,322.58,297.91,289.96,339.53,336.16,300.23,311.62,305.51,330.75,557.88,642.57,646.22,526.62,586.04,550.21,597.87,595.87,600.62,482.69,895.12,2048.9,1685,3810.43,6519.65,1371.23,1435.13,2513.73,2428.93,4240.65
196506,8.11,8.01,11.97,9.28,9.56,13.46,9.31,9.91,10.02,9.96,21.13,21.62,26.33,25.77,24.55,22.68,26.55,21.21,23.78,26.25,35.83,37.25,40.25,32.44,39.57,38.69,38.05,59.71,43.8,44.2,52.53,61.45,59.08,62.89,56.24,53.43,53.84,46.53,64.52,52.34,76.65,83.78,80.92,93.17,83.08,67.82,79.5,87.4,102.19,78.29,89.49,100.41,137.43,115,105.58,112.62,92.52,110.09,118.52,123.87,175.22,158.14,213.84,181.13,174.65,162.5,172.84,172.88,186.43,173.82,277.82,318.07,299.06,286.87,339.63,326.78,294.98,311.36,306.58,347.08,522.26,655.86,657.32,525.58,579.68,538.96,586.69,591.22,609.43,485.53,839.85,2068.8,1718.46,3767.96,6594.35,1361.66,1431.71,2451.22,2433.18,4122.96
196507,6.78,8.27,8.03,8.42,9.52,8.44,10.18,8.81,9,9.14,23,22.48,23.61,21.89,23.68,21.1,22.07,24.13,23.31,22.71,32.88,36.08,33.96,33.07,35.04,36.68,35.38,36.26,33.86,36.15,49.74,49.19,51.18,47.45,47.61,47.01,48.68,52.8,49.24,53.48,67.82,71.34,72.52,71.66,67.85,74.48,71.55,70.33,68.74,70.33,104.34,108.21,102.28,96.84,105.58,102.76,107.54,105.69,105.22,97.43,157.06,149.98,152.32,159.41,170.53,152.94,160.12,167.9,167.84,152.66,282.76,270.73,256.92,266.78,276.93,287.9,298.47,262.13,267.53,278.57,596.86,463.15,604.39,530.99,577.87,492.3,511.7,524.77,530.53,499.05,977.08,2216.38,2548.11,5044.68,2394.99,1883.67,1522.36,1382.85,1840.12,4890.51
196508,6.91,8.66,8.17,8.58,10.01,8.88,10.5,9.03,9.06,9.24,23.91,23.35,23.21,22.89,25.37,22.15,22.27,25.07,25.8,23.44,33.39,38.88,35.01,34.46,35.35,37.54,36.34,36.47,34.37,37.57,50.85,49.64,51.88,48.9,51.54,47.9,50.25,53.48,49.52,55.84,71.9,72.37,76.79,76.4,71.55,74.93,74.7,70.28,72.03,70.39,106.34,119.18,109.68,101.17,106.7,105.62,107.34,109.46,110.93,98.81,163.36,153.28,157.25,166.61,176.04,154.11,159.76,170.53,173.42,158.52,305.13,281.36,258.86,273.85,289.27,298.7,305.48,274.47,273.34,285.03,624.69,494.07,619.01,540.65,612.1,502.03,522.16,522.03,538.86,506.21,1055.11,2334.06,2607.61,4988.69,2379.06,1931.34,1535.39,1372.29,1872.57,4990.54
